RepGroup,SubGroup,GenePop,Location,NOAA_repunit
Asia,,CMNAMD05F,NamdaeR,SE_Asia
Asia,,CMTOKA02,TokachiR,SE_Asia
Asia,,CMKUSH98,KushiroR,SE_Asia
Asia,,CMCHIT03E,ChitoseR,SE_Asia
Asia,,CMNISH97,NishibetsuR,SE_Asia
Asia,,CMABAS98,AbashiriR,SE_Asia
Asia,,CMSHIN02,ShinzunaiR,SE_Asia
Asia,,CMTESH01,TeshioR,SE_Asia
Asia,,CMYURA97E,YurappuR,SE_Asia
Asia,,CMYURA97L,YurappuR,SE_Asia
Asia,,CMSASA90,SasanaiR,SE_Asia
Asia,,CMSHAR01,ShariR,SE_Asia
Asia,,CMTOKOR05,TokoroR,SE_Asia
Asia,,CMTSHIB04,TokushibetsuR,SE_Asia
Asia,,CMGAKK03E,GakkoR,SE_Asia
Asia,,CMNAIB95,NaibaR,SE_Asia
Asia,,CMTYM95,TymR,SE_Asia
Asia,,CMBOL97,ParatunkaR,NE_Asia
Asia,,CMPARA98,BolshayaR,NE_Asia
Asia,,CMAMU97,AmurR,SE_Asia
Asia,,CMBIST98,BistrayaR,NE_Asia
Asia,,CMHAIR93,HairusovaR,NE_Asia
Asia,,CMOZER98,OzerkiH,NE_Asia
Asia,,CMPYMT93B,PymtaR,NE_Asia
Asia,,CMPENZ93,PenzhinaR,NE_Asia
Asia,,CMKOL90B,KolR,NE_Asia
Asia,,CMVORO93,VorovskayaR,NE_Asia
Asia,,CMKAM90,KamchatkaR,NE_Asia
Asia,,CMPALA98UW,PalanaR,NE_Asia
Asia,,CMMAG91,MagadanR,NE_Asia
Asia,,CMOSS96,OssoraR,NE_Asia
Asia,,CMTAUY90,TauyR,NE_Asia
Asia,,CMOLA90,OlaR,NE_Asia
Asia,,CMOKLA93,OklanR,NE_Asia
Asia,,CMKANC91,KanchalanR,NE_Asia
Asia,,CMUDAR94,UdarnitzaR,NE_Asia
KotzebueSound,,CMINMA05UW,InmachukR,CWAK
KotzebueSound,,CMKIAN04UW,KobukRKianad,CWAK
KotzebueSound,,CMKOB91,KobukSalmonR,CWAK
KotzebueSound,,CMKEL91,KellyLNoatakR,CWAK
KotzebueSound,,CMNOA91,NoatakR,CWAK
KotzebueSound,,CMSEL94,SelbyS,CWAK
KotzebueSound,,CMAGIA05,AgiapukR,CWAK
KotzebueSound,,CMAMER05,AmericanR,CWAK
CWAK,NortonSound,CMELDO05,EldoradoR,CWAK
CWAK,NortonSound,CMNOME05,NomeR,CWAK
CWAK,NortonSound,CMPIL94,PilgrimR,CWAK
CWAK,NortonSound,CMSNA95,SnakeR,CWAK
CWAK,NortonSound,CMSOL96,SolomonR,CWAK
CWAK,NortonSound,CMFISH04,FishR,CWAK
CWAK,NortonSound,CMKWIN04UW,KwiniukR,CWAK
CWAK,NortonSound,CMNIUK04,NiuklukR,CWAK
CWAK,NortonSound,CMTUBU09,TubutulikR,CWAK
CWAK,NortonSound,CMSHAK05,ShaktoolikR,CWAK
CWAK,NortonSound,CMPIKM05,PikmiktalikR,CWAK
CWAK,NortonSound,CMKOYU05,KoyukR,CWAK
CWAK,NortonSound,CMUNAL04UW,"Unalakleetd,g",CWAK
CWAK,NortonSound,CMUNGA10,UngalikR,CWAK
CWAK,YukonCoastal,CMBLAC06,BlackR,CWAK
CWAK,YukonCoastal,CMAND93W,AndreafskyRWestFk,CWAK
CWAK,YukonCoastal,CMANDR04EUW,"AndreafskyREastFkd,g",CWAK
CWAK,YukonCoastal,CMCHUL89,Chulinak,CWAK
CWAK,YukonCoastal,CMANV93D,OtterCkAnvik,CWAK
CWAK,YukonCoastal,CMANV92B,YellowRAnvik,CWAK
CWAK,YukonCoastal,CMYUKA93,InnokoR,CWAK
CWAK,YukonCoastal,CMKALT92,KaltagR,CWAK
CWAK,YukonCoastal,CMNUL94,NulatoR,CWAK
CWAK,YukonCoastal,CMGIS04,GisasaR,CWAK
CWAK,YukonCoastal,CMCLE02,ClearCk,CWAK
CWAK,YukonCoastal,CMHUS93,HusliaR,CWAK
CWAK,YukonCoastal,CMSFKO96E,SouthFkKoyukukR,CWAK
CWAK,YukonCoastal,CMHENS04,HenshawCkEarly,CWAK
CWAK,YukonCoastal,CMMELO03,MelozitnaR,CWAK
CWAK,YukonCoastal,CMTOZI03,TozitnaR,CWAK
CWAK,Kuskokwim,CMKWE94,KwethlukR,CWAK
CWAK,Kuskokwim,CMTUL07,TuluksakR,CWAK
CWAK,Kuskokwim,CMKIS94,KisaralikR,CWAK
CWAK,Kuskokwim,CMANI92,AniakR,CWAK
CWAK,Kuskokwim,CMSALM07UW,SalmonR,CWAK
CWAK,Kuskokwim,CMHOL95,HolokukR,CWAK
CWAK,Kuskokwim,CMKOG07,KogruklukR,CWAK
CWAK,Kuskokwim,CMKAS94,KasiglukR,CWAK
CWAK,Kuskokwim,CMGEO07,GeorgeR,CWAK
CWAK,Kuskokwim,CMSTO94L,StonyR,CWAK
CWAK,Kuskokwim,CMNECO07,NeconsR,CWAK
CWAK,Kuskokwim,CMTATL07,TatlawiksukR,CWAK
CWAK,Kuskokwim,CMNUN94,NunsatukR,CWAK
CWAK,Kuskokwim,CMTAK07,TakotnaR,CWAK
CWAK,Kuskokwim,CMBIGR08,BigR,CWAK
CWAK,Kuskokwim,CMSFKU08,SouthFk,CWAK
CWAK,Kuskokwim,CMWINDF08,WindyFk,CWAK
CWAK,Kuskokwim,CMKAN07UW,KanektokR,CWAK
CWAK,Kuskokwim,CMGOOD06NF,GoodnewsR,CWAK
CWAK,Kuskokwim,CMMEKO06C,MekoryukR,CWAK
CWAK,BristolBay,CMTOGRM11,BayTogiakR,CWAK
CWAK,BristolBay,CMOSVIAK10UW,OsviakR,CWAK
CWAK,BristolBay,CMSUNS06,SunshineCk,CWAK
CWAK,BristolBay,CMIOW10UW,IowithlaR,CWAK
CWAK,BristolBay,CMMUL94,MulchatnaR,CWAK
CWAK,BristolBay,CMKOKW11,KokwokR,CWAK
CWAK,BristolBay,CMNUS93,UpperNushagak,CWAK
CWAK,BristolBay,CMSTUY93,StuyahokR,CWAK
CWAK,BristolBay,CMKLUTU10,KlutuspakCk,CWAK
CWAK,BristolBay,CMBRIB93,BigCkNaknekR,CWAK
CWAK,BristolBay,CMALAG10UW,AlagnakR,CWAK
CWAK,BristolBay,CMWHLMT10UW,WhaleMtCk,CWAK
CWAK,BristolBay,CMPUMIC10,PumiceCk,CWAK
CWAK,BristolBay,CMWAND10,WanderingCkDogSalmon,CWAK
UpperYukon,,CMHENS95,HenshawCkLate,UpperYukon
UpperYukon,,CMSFKO96L,SouthFkKoyukukR,UpperYukon
UpperYukon,,CMJIM10,JimR,UpperYukon
UpperYukon,,CM17MI10F,MileS(Nenana),UpperYukon
UpperYukon,,CMTAN93,TananaRMainstem,UpperYukon
UpperYukon,,CMTOKA94,ToklatRGeigerCk,UpperYukon
UpperYukon,,CMKAN01,KantishnaR,UpperYukon
UpperYukon,,CMCHE94,ChenaR,UpperYukon
UpperYukon,,CMSAL01,SalchaR,UpperYukon
UpperYukon,,CMDEL94,DeltaR,UpperYukon
UpperYukon,,CMBLU92,BluffCabin,UpperYukon
UpperYukon,,CMBSAL01,BigSaltR,UpperYukon
UpperYukon,,CMCHAN01,ChandalarR,UpperYukon
UpperYukon,,CMSHE92,SheenjekR,UpperYukon
UpperYukon,,CMBLAC95,BlackR,UpperYukon
UpperYukon,,CMOLDC07,OldCrowPorcupineR,UpperYukon
UpperYukon,,CMFBR07UW,FishingBranchd,UpperYukon
UpperYukon,,CMKLUA07,KluaneRd,UpperYukon
UpperYukon,,CMPEL93,PellyR,UpperYukon
UpperYukon,,CMMINTS89,MintoS,UpperYukon
UpperYukon,,CMTATN92,TatchunCk,UpperYukon
UpperYukon,,CMBCK95,BigCk,UpperYukon
UpperYukon,,CMTES92,TeslinR,UpperYukon
UpperYukon,,CMDON94,DonjekR,UpperYukon
NorthernDistrict,,CMWIGG09UW,WigglyCreek-Cinder,SWAK
NorthernDistrict,,CMMES92UW,MeshikRd,SWAK
NorthernDistrict,,CMPLEN09UW,PlentyBearCkMeshik,SWAK
NorthernDistrict,,CMMESB09UW,BraidedCkMeshikRd,SWAK
