PopName,ReportingGroup,BayesRepNum
KBIST98L,Russia,1
KBOLS0298E,Russia,1
KKAMC98L97,Russia,1
KPAKH02,Russia,1
KPILG0506,CoastWAK,2
KUNAL05,CoastWAK,2
KGOLS0506,CoastWAK,2
KANDR0203,CoastWAK,2
KANVI02,CoastWAK,2
KGISA01,CoastWAK,2
KTOZI0203,CoastWAK,2
KHENS01,MidYukon,3
KSFKOY03,MidYukon,3
KBEAV97,MidYukon,3
KCHAN020304,MidYukon,3
KSHEE020406,MidYukon,3
KKANT05,MidYukon,3
KCHENA01,MidYukon,3
KSALC05,MidYukon,3
KCHAU000103,UpYukon,4
KKLON010395,UpYukon,4
KSTEW97,UpYukon,4
KMAYO039297,UpYukon,4
KBLIN03,UpYukon,4
KPELL9697,UpYukon,4
KLSAL8797,UpYukon,4
KBIGS8797,UpYukon,4
KTATC87970203,UpYukon,4
KNORD03,UpYukon,4
KNISU8797,UpYukon,4
KTAKH039702,UpYukon,4
KWHITE858797,UpYukon,4
KGOMF050693,CoastWAK,2
KAROL05,CoastWAK,2
CHKAN929305,CoastWAK,2
KEEK0205,CoastWAK,2
KKWET01,CoastWAK,2
KKANE01KISA05,CoastWAK,2
KITUL9394TULU05,CoastWAK,2
KSALM0206,CoastWAK,2
KGEOR0205,CoastWAK,2
CHKOG929305,CoastWAK,2
KISTO94,CoastWAK,2
KCHEE0206,CoastWAK,2
KGAGA06,CoastWAK,2
KIMCG94TAKW05,CoastWAK,2
KTATL0205,CoastWAK,2
KSALM95,CoastWAK,2
KITOG9394,CoastWAK,2
CHNUU92KINUS93,CoastWAK,2
KIMUL94,CoastWAK,2
KISTU9394,CoastWAK,2
KNEK95MAIN04,CoastWAK,2
KBIGCK04,CoastWAK,2
KKSALM06AB,NAKPen,5
KMESH06,NAKPen,5
KMILK06,NAKPen,5
KNELS06,NAKPen,5
KBLACH06,NAKPen,5
KSTEE06,NAKPen,5
KCHIG9506,NWGOA,6
KIAYA93AYAK06,NWGOA,6
KIKAR9306,NWGOA,6
KDESH05MOOD95,NWGOA,6
CHDEC91112,NWGOA,6
KWILL05,NWGOA,6
KPRAI95,NWGOA,6
KTALA95,NWGOA,6
KCRESC06,NWGOA,6
KKILL0506,NWGOA,6
KBENJ0506,NWGOA,6
KFUNN0506,NWGOA,6
KSLIK05,NWGOA,6
KJUNE0506,NWGOA,6
KKENA0403M06,NWGOA,6
KCROCK0592,NWGOA,6
KKASL05M05,NWGOA,6
KANCH06,NWGOA,6
KNINI06,NWGOA,6
KINDI0405,Copper,7
KBONE0405,Copper,7
KCHIS04E,Copper,7
KOTTER05,Copper,7
KSINO0504,Copper,7
KGULK04MMFPF,Copper,7
KMEND04,Copper,7
KKIAN04,Copper,7
KMANK0405,Copper,7
KGRAY04LTON0405,Copper,7
KTEBA040506,Copper,7
KSITU90889192,NEGOA,8
KKLUK8990,NEGOA,8
CHBIG92930495,NEGOA,8
CHTAH9204,NEGOA,8
KDIPAC05,NEGOA,8
KKELS04,NEGOA,8
KKSR899093,NEGOA,8
KKING03,CoastSEAK,9
KCHIK0390,CoastSEAK,9
KICHI93LPWC05,CoastSEAK,9
CHWHI929805,CoastSEAK,9
KHUMP03,CoastSEAK,9
KBUTL04,CoastSEAK,9
KCLEA030489,CoastSEAK,9
KCRIP0388,CoastSEAK,9
KGENE030489,CoastSEAK,9
KKERR0304,CoastSEAK,9
KLPWU05,CoastSEAK,9
CHDMT92DEER94,CoastSEAK,9
KKETA8903,CoastSEAK,9
KBLOS04,CoastSEAK,9
KANDR8904,CoastSEAK,9
CHCRY929405,CoastSEAK,9
KMEDV9805,CoastSEAK,9
KHIDD9498,CoastSEAK,9
KMACA05,CoastSEAK,9
KKOWA8990,CoastSEAK,9
KLTAT899005,CoastSEAK,9
KUNAH8990,CoastSEAK,9
KNAKI8990,CoastSEAK,9
KDUDI05,CoastSEAK,9
KTAHL89,CoastSEAK,9
KKATEE05,BC,10
KDAMD96,BC,10
KKINC96,BC,10
KKWINA96,BC,10
KOWEG96,BC,10
KBULK99,BC,10
KSUST01,BC,10
KECST0102,BC,10
KLKALU01,BC,10
KLATN96,BC,10
KKITI97,BC,10
KWANN96,BC,10
KKLIN97,BC,10
KPTCV03,BC,10
KCONU9798,BC,10
KMARB009699,BC,10
KNITI96,BC,10
KROBE9603,BC,10
KSARI0197,BC,10
KBIGQU96,BC,10
KNANA02,BC,10
KQUIN96,BC,10
KMORK01,BC,10
KSALBC97,BC,10
KTORP01,BC,10
KCHIL02959699,BC,10
KNECH96,BC,10
KQUES96,BC,10
KSTUA96,BC,10
KCLWA97,BC,10
KLOUI01,BC,10
KLADA96,BC,10
KLTHO01,BC,10
KMSHU8697,BC,10
KBIRK0102039799,BC,10
KHARR02,BC,10
KMAKA01F03F,WestCoastUS,11
KFORK05,WestCoastUS,11
KUSKAG06SU,WestCoastUS,11
KSOOS04F,WestCoastUS,11
KLYON0203,WestCoastUS,11
KHANF000406,WestCoastUS,11
KLDES02,WestCoastUS,11
KCARS01,WestCoastUS,11
KMCKE04,WestCoastUS,11
KALSE04,WestCoastUS,11
KSIUS01,WestCoastUS,11
KSRF90SRS90GHF06,WestCoastUS,11
KEELR00001A,WestCoastUS,11
KSACW05,WestCoastUS,11
