lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,all,all,2013,NA,,,Western AK,NA,0.1809,0.0095,0.1626,0.1809,0.1996,1.01,
Bering Sea,all,early,2013,NA,,,Western AK,NA,0.1775,0.0153,0.1484,0.1772,0.2083,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,Western AK,NA,0.2350,0.0152,0.2051,0.2349,0.2651,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,Western AK,NA,0.1345,0.0139,0.1079,0.1343,0.1625,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,Western AK,NA,0.1801,0.0149,0.1513,0.1800,0.2095,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,Western AK,NA,0.1751,0.0181,0.1406,0.1748,0.2123,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,Western AK,NA,0.1950,0.0250,0.1475,0.1945,0.2458,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,Western AK,NA,0.2294,0.0321,0.1688,0.2286,0.2943,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,Western AK,NA,0.2606,0.0188,0.2239,0.2605,0.2979,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,Western AK,NA,0.1517,0.0232,0.1081,0.1510,0.1992,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,Western AK,NA,0.1327,0.0537,0.0330,0.1333,0.2383,1.00,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,Western AK,NA,0.2227,0.0437,0.1408,0.2209,0.3136,1.00,weeks 30-34
Bering Sea,NMFS 521,late,2013,NA,,,Western AK,NA,0.1290,0.0202,0.0904,0.1285,0.1700,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,Western AK,NA,0.2206,0.0137,0.1942,0.2205,0.2482,1.00,"NMFS 513, 517, 519"
Bering Sea,Western,all,2013,NA,,,Western AK,NA,0.1364,0.0165,0.1048,0.1362,0.1697,1.00,"NMFS 521, 523, 524"
GOA,all,all,2014,NA,252,,Western AK,NA,0.0199,0.0105,0.0035,0.0185,0.0440,1.00,
Bering Sea,all,all,2014,NA,1741,,Western AK,NA,0.1768,0.0120,0.1537,0.1766,0.2008,1.00,
Bering Sea,all,early,2014,NA,249,,Western AK,NA,0.1876,0.0306,0.1300,0.1867,0.2507,1.00,
Bering Sea,all,middle,2014,NA,957,,Western AK,NA,0.2116,0.0168,0.1790,0.2115,0.2454,1.00,
Bering Sea,all,late,2014,NA,535,,Western AK,NA,0.1318,0.0183,0.0972,0.1314,0.1692,1.00,
Bering Sea,Eastern,all,2017,NA,406244,1783,E GOA/PNW,NA,0.146,0.01,0.126,0.145,0.166,1,
Bering Sea,Western,all,2017,NA,58654,281,E GOA/PNW,NA,0.154,0.025,0.108,0.153,0.205,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 509,early-mid,2014,NA,90,,Western AK,NA,0.2729,0.0567,0.1686,0.2711,0.3896,1.00,
Bering Sea,NMFS 517,early-mid,2014,NA,784,,Western AK,NA,0.2211,0.0186,0.1852,0.2209,0.2585,1.00,
Bering Sea,NMFS 517,late,2014,NA,252,,Western AK,NA,0.1894,0.0322,0.1282,0.1887,0.2545,1.00,
Bering Sea,NMFS 521,early-mid,2014,NA,295,,Western AK,NA,0.1447,0.0269,0.0945,0.1439,0.2003,1.00,
Bering Sea,NMFS 521,late,2014,NA,221,,Western AK,NA,0.0912,0.0232,0.0506,0.0897,0.1412,1.00,
Bering Sea,Cluster 2,all,2015,NA,,381,Western AK,NA,0.095,0.019,0.060,0.094,0.135,1.00,
Bering Sea,Cluster 3,all,2015,NA,,387,Western AK,NA,0.161,0.024,0.117,0.161,0.210,1.00,
Bering Sea,Cluster 4,all,2015,NA,,387,Western AK,NA,0.035,0.016,0.008,0.034,0.068,1.01,
GOA,all,all,2014,NA,252,,E GOA/PNW,NA,0.9163,0.0234,0.8657,0.9178,0.9567,1.01,
Bering Sea,all,A season,2015,NA,4647,142,E GOA/PNW,NA,0.470,0.047,0.380,0.470,0.562,1.00,
Bering Sea,all,B season,2015,NA,232039,1836,E GOA/PNW,NA,0.514,0.013,0.489,0.514,0.540,1.00,
Bering Sea,all,early,2015,NA,19138,162,E GOA/PNW,NA,0.129,0.028,0.079,0.127,0.187,1.00,
Bering Sea,all,middle,2015,NA,122880,959,E GOA/PNW,NA,0.553,0.018,0.518,0.553,0.588,1.00,
Bering Sea,all,late,2015,NA,90021,715,E GOA/PNW,NA,0.552,0.021,0.511,0.552,0.593,1.00,
Bering Sea,NMFS 517,all,2015,NA,172641,1362,E GOA/PNW,NA,0.577,0.015,0.548,0.577,0.607,1.00,
Bering Sea,NMFS 517,early,2015,NA,8388,71,E GOA/PNW,NA,0.143,0.045,0.066,0.139,0.240,1.00,
Bering Sea,NMFS 517,middle,2015,NA,90438,698,E GOA/PNW,NA,0.605,0.021,0.564,0.605,0.646,1.00,
Bering Sea,NMFS 517,late,2015,NA,73815,593,E GOA/PNW,NA,0.602,0.022,0.558,0.602,0.644,1.00,
Bering Sea,NMFS 521,all,2015,NA,54442,423,E GOA/PNW,NA,0.293,0.024,0.246,0.292,0.341,1.00,
Bering Sea,NMFS 521,early,2015,NA,9619,81,E GOA/PNW,NA,0.120,0.037,0.057,0.117,0.201,1.00,
Bering Sea,NMFS 521,middle,2015,NA,30340,235,E GOA/PNW,NA,0.377,0.035,0.309,0.376,0.446,1.00,
Bering Sea,NMFS 521,late,2015,NA,14483,107,E GOA/PNW,NA,0.269,0.048,0.179,0.267,0.368,1.00,
Bering Sea,Eastern,all,2017,NA,406244,1783,NE Asia,NA,0.458,0.015,0.428,0.458,0.488,1,
Bering Sea,Western,all,2017,NA,58654,281,NE Asia,NA,0.463,0.038,0.388,0.463,0.537,1,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,all,2015,NA,,1162,E GOA/PNW,NA,0.594,0.016,0.562,0.594,0.626,1.00,
Bering Sea,Cluster 1,early,2015,NA,25417,213,E GOA/PNW,NA,0.435,0.037,0.363,0.435,0.508,1.00,
Bering Sea,Cluster 1,late,2015,NA,118231,949,E GOA/PNW,NA,0.632,0.018,0.597,0.632,0.666,1.00,
Bering Sea,Cluster 2,early,2015,NA,5712,186,E GOA/PNW,NA,0.137,0.030,0.083,0.135,0.200,1.00,
Bering Sea,Cluster 2,late,2015,NA,8701,195,E GOA/PNW,NA,0.699,0.036,0.627,0.700,0.768,1.00,
Bering Sea,Cluster 2,early,2015,NA,5712,186,NE Asia,NA,0.469,0.045,0.381,0.469,0.557,1.00,
Bering Sea,Cluster 3,late,2015,NA,24251,191,E GOA/PNW,NA,0.514,0.040,0.435,0.514,0.593,1.01,
Bering Sea,Cluster 2,early,2015,NA,5712,186,SE Asia,NA,0.188,0.032,0.129,0.187,0.254,1.00,
Bering Sea,Cluster 4,late,2015,NA,14343,190,E GOA/PNW,NA,0.177,0.032,0.117,0.176,0.243,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 27-32,2015,NA,,118,E GOA/PNW,NA,0.442,0.050,0.346,0.442,0.542,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 33,2015,NA,,200,E GOA/PNW,NA,0.707,0.037,0.632,0.708,0.777,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 34-36,2015,NA,,117,E GOA/PNW,NA,0.528,0.050,0.428,0.528,0.624,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 37-40,2015,NA,,115,E GOA/PNW,NA,0.534,0.053,0.431,0.534,0.638,1.00,
Bering Sea,Cluster 2 (ADFG 675500),Wk 38-39,2015,NA,,143,E GOA/PNW,NA,0.675,0.043,0.589,0.676,0.758,1.00,
Bering Sea,Cluster 3 (ADFG 705600),Wk 32-34,2015,NA,,118,E GOA/PNW,NA,0.494,0.050,0.398,0.494,0.592,1.00,
GOA,all,all,2014,NA,252,,NE Asia,NA,0.0238,0.0163,0.0000,0.0221,0.0606,1.00,
Bering Sea,all,A season,2016,NA,3726,114,E GOA/PNW,NA,0.372,0.057,0.261,0.372,0.485,1.01,
Bering Sea,all,B season,2016,NA,339094,2701,E GOA/PNW,NA,0.349,0.010,0.328,0.348,0.369,1.00,
Bering Sea,all,early,2016,NA,56835,453,E GOA/PNW,NA,0.211,0.021,0.172,0.211,0.253,1.00,
Bering Sea,all,middle,2016,NA,166973,1333,E GOA/PNW,NA,0.350,0.015,0.322,0.350,0.379,1.00,
Bering Sea,all,late,2016,NA,115286,915,E GOA/PNW,NA,0.408,0.019,0.372,0.408,0.445,1.01,
Bering Sea,NMFS 517,all,2015,NA,263180,2126,E GOA/PNW,NA,0.352,0.012,0.330,0.352,0.375,1.00,
Bering Sea,NMFS 517,early,2015,NA,32564,262,E GOA/PNW,NA,0.221,0.028,0.168,0.220,0.279,1.00,
Bering Sea,NMFS 517,middle,2016,NA,124946,1024,E GOA/PNW,NA,0.335,0.016,0.303,0.335,0.367,1.00,
Bering Sea,NMFS 517,late,2016,NA,105670,840,E GOA/PNW,NA,0.414,0.020,0.375,0.414,0.453,1.00,
Bering Sea,NMFS 521,all,2016,NA,44785,329,E GOA/PNW,NA,0.294,0.028,0.241,0.293,0.349,1.00,
Bering Sea,NMFS 521,early,2016,NA,12955,102,E GOA/PNW,NA,0.146,0.038,0.079,0.144,0.229,1.00,
Bering Sea,NMFS 521,middle,2016,NA,31449,225,E GOA/PNW,NA,0.349,0.036,0.281,0.349,0.421,1.00,
Bering Sea,Eastern,all,2017,NA,406244,1783,SE Asia,NA,0.146,0.009,0.128,0.146,0.165,1,
Bering Sea,Western,all,2017,NA,58654,281,SE Asia,NA,0.228,0.028,0.176,0.227,0.284,1,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2016,NA,111336,1043,E GOA/PNW,NA,0.348,0.016,0.316,0.348,0.380,1.00,
Bering Sea,Cluster 1,late,2016,NA,88941,681,E GOA/PNW,NA,0.355,0.020,0.316,0.355,0.395,1.00,
Bering Sea,Cluster 2,early,2015,NA,5712,186,SW Alaska,NA,0.033,0.019,0.006,0.031,0.076,1.00,
Bering Sea,Cluster 2,late,2015,NA,8701,195,NE Asia,NA,0.148,0.034,0.087,0.147,0.219,1.00,
Bering Sea,Cluster 3,early,2016,NA,29591,320,E GOA/PNW,NA,0.352,0.030,0.295,0.352,0.411,1.00,
Bering Sea,Cluster 3,late,2016,NA,15170,178,E GOA/PNW,NA,0.359,0.040,0.284,0.358,0.438,1.00,
Bering Sea,Cluster 4,late,2016,NA,6931,184,E GOA/PNW,NA,0.350,0.039,0.274,0.349,0.428,1.00,
GOA,all,all,2014,NA,252,,SE Asia,NA,0.0278,0.0110,0.0104,0.0264,0.0529,1.00,
Bering Sea,all,B season,2017,NA,464898,2064,E GOA/PNW,NA,0.15,0.01,0.132,0.15,0.169,1,
Bering Sea,all,early,2017,NA,287683,1307,E GOA/PNW,NA,0.092,0.01,0.073,0.091,0.112,1,
Bering Sea,all,middle,2017,NA,142265,589,E GOA/PNW,NA,0.197,0.02,0.158,0.197,0.237,1,
Bering Sea,all,late,2017,NA,34950,168,E GOA/PNW,NA,0.367,0.043,0.284,0.366,0.454,1,
Bering Sea,Eastern,all,2017,NA,406244,1783,SW Alaska,NA,0.032,0.007,0.02,0.032,0.046,1,
Bering Sea,Western,all,2017,NA,58654,281,SW Alaska,NA,0.03,0.014,0.007,0.028,0.062,1,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2017,NA,134212,640,E GOA/PNW,NA,0.15,0.018,0.117,0.15,0.186,1.01,
Bering Sea,Cluster 1,late,2017,NA,18133,94,E GOA/PNW,NA,0.273,0.038,0.201,0.273,0.351,1,
Bering Sea,Cluster 2,early,2015,NA,5712,186,Up/Mid Yukon,NA,0.030,0.015,0.007,0.028,0.065,1.00,
Bering Sea,Cluster 2,late,2015,NA,8701,195,SE Asia,NA,0.083,0.022,0.044,0.081,0.131,1.00,
Bering Sea,Cluster 3,early,2017,NA,31915,155,E GOA/PNW,NA,0.088,0.026,0.044,0.086,0.144,1,
Bering Sea,Cluster 3,late,2017,NA,2815,12,E GOA/PNW,NA,0.319,0.058,0.21,0.317,0.437,1,
Bering Sea,Cluster 4,early,2017,NA,6090,35,E GOA/PNW,NA,0.138,0.029,0.086,0.136,0.199,1,
Bering Sea,Cluster 4,late,2017,NA,19078,83,E GOA/PNW,NA,0.168,0.03,0.113,0.166,0.23,1,
Bering Sea,all,all,2013,NA,,,E GOA/PNW,NA,0.1475,0.0065,0.1351,0.1474,0.1604,1.00,
Bering Sea,all,early,2013,NA,,,E GOA/PNW,NA,0.2495,0.0139,0.2228,0.2494,0.2772,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,E GOA/PNW,NA,0.1097,0.0093,0.0921,0.1095,0.1284,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,E GOA/PNW,NA,0.0943,0.0103,0.0750,0.0939,0.1154,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,E GOA/PNW,NA,0.2618,0.0144,0.2336,0.2618,0.2901,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,E GOA/PNW,NA,0.3148,0.0188,0.279,0.3146,0.3522,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,E GOA/PNW,NA,0.1813,0.0210,0.1414,0.1808,0.2232,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,E GOA/PNW,NA,0.1597,0.0230,0.1176,0.1590,0.2077,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,E GOA/PNW,NA,0.0943,0.0107,0.0740,0.0939,0.1159,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,E GOA/PNW,NA,0.0828,0.0150,0.0556,0.0822,0.1146,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,E GOA/PNW,NA,0.0444,0.0235,0.0101,0.0407,0.1001,1.00,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,E GOA/PNW,NA,0.0320,0.0178,0.0060,0.0291,0.0740,1.00,weeks 30-34
Bering Sea,NMFS 521,late,2013,NA,,,E GOA/PNW,NA,0.1050,0.0145,0.0780,0.1045,0.1348,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,E GOA/PNW,NA,0.1025,0.0082,0.0869,0.1023,0.1191,1.00,"NMFS 513, 517, 519"
